,,S_ID,Sender,SMS,CLASS
KatyPerry,195,z134htdz0kjvgbd5w04cebardrm5zp15mw40k,Matt Twine,Nice song .See my new track.﻿,1
KatyPerry,196,z12lhtpotlygylwcj23idphbpsjih0e0,Kane Bradford,I love this sooooooooooooong I love katy perry﻿,0
KatyPerry,197,z13utrmbosiawt10p22kextrikr0fprhh04,Tiny Tim,What does that tattoo on her right tricep say?﻿,0
KatyPerry,198,z12auh0b1vajetih404cfbl5uyfehpi4kb4,fortune kitty52,Since when has Katy Perry had her own YouTube channel?﻿,0
KatyPerry,199,z13myxsrskidhjt5u04cfb3hpqn4vb1q5ts0k,imscarlet,"Every time I watch this mv I just so so so glad that I live in a world that  don't have to worry about running from a real, human eating tiger.﻿",0
KatyPerry,200,z13vz1qqzlq5flz2k223znxpkmvgutlei,b0b1t.48058475,i rekt ur mum last nite. cuz da haterz were 2 much 4 meh lik dis if u cri evertim and sponswer mi robox vidz https://www.indiegogo.com/projects/gimme-dem-moneyz-4-roblox/x/8851222#home﻿,1
KatyPerry,201,z13gw3uz2kfkcf3np22nsvz4zkr0u5xzl04,ambareesh nimkar,"""eye of the tiger"" ""i am the champion"" seems like katy perry is using  titles of old rock songs for lyrics..﻿",0
KatyPerry,202,z12ocr0rypvrdbq4004chheqepesuxkicyw0k,Orfeu LUZ DO SOL,She is a perfect wonder.....﻿,0
KatyPerry,203,z12suvdjtluxipdj004cdh5ymvukufbrl4w,Fred Smith,https://www.indiegogo.com/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160#home ﻿,1
KatyPerry,204,z121gdxzazm3cplce234g5uheyn4c5e4104,WWWWWWWWWWWWWWWVWW,she is horrible at acting. cringe-worhty.﻿,0
KatyPerry,205,z12auv0iwzukvnvf322vsd2y0pnpw5ure04,Feredea SJ,"I love katy fashions tiger, care to visit my blog sinar jahitan  I also have the tiger collections tqvm﻿",1
KatyPerry,206,z13wt1vrismyzpiij04cj5vz4nzlyj4yfzo0k,Alexander Mcdonald,"Anyone Who LOVEs music , please go check out my youtube page and tell me  what you think . I just put a video up and will be doing more song. I'm  just trying to get myself started. Any love is much Appreciated ﻿",1
KatyPerry,207,z13idnfjpl3njhnyv04ccfuzwsryhpcbkjg,Ella-Grace Aldred,Is that tiger called 'Katty Purry'?﻿,0
KatyPerry,208,z13bhfphlnbjsb4n123huzyy1urufxjp004,uranium 239,"blue eyes, can't be trusted.  uranus bless america.﻿",0
KatyPerry,209,z12ojhxjqrnqj5rlc22bivs5jnmkhrylt,by.Ovskiy,"Rap from Belarus, check my channel:)﻿",1
KatyPerry,210,z13pupugayfozd3zn04cc3kaim3qttfoh2s,Morgensen Freya,follow me on twitter: freyacumqueen﻿,1
KatyPerry,211,z12yfvzzpt2tizxvb22yj334vzmrh13gc04,Natalya Korshunova,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
KatyPerry,212,z12odl0g1lv2sny2a23mxtijuvftznai404,Alex Lynch,"C'mon Katy you are so close to 14,000,000 subscribers...come up with  another hit like this and it will happen﻿",0
KatyPerry,213,z12kulnquwqogxxj104chtgr4vbxvt4zg5k,Rick Casse,VOTE FOR KATY FOR THE EMAs! #KATYCATS  http://tv.mtvema.com/artists/katy-perry/i38xh1﻿,1
KatyPerry,214,z13lwnfyppu2ujssg23eezvyfnu3h3t4t04,Rajesh Bhat,"My honest opinion. It's a very mediocre song. Nothing unique or special  about her music, lyrics or voice. Nothing memorable like Billie Jean or  Beat It. Before her millions of fans reply with hate comments, i know this  is a democracy and people are free to see what they want. But then don't I  have the right to express my opinion? Please don't reply with dumb comments  lie ""if you don't like it don't watch it"". I just came here to see what's  the buzz about(661 million views??) and didn't like what i saw. OK?﻿",0
KatyPerry,215,z124whipbluof3y2t23gvfmb1la2w5aw204,Bi - Bases of Image [Musical videos],Visit my channel﻿,1
KatyPerry,216,z13bevebfqauylm4h04cidqh4xuoy5ayrlo0k,big macintosh,Wow she is sexy XD﻿,0
KatyPerry,217,z12kzxgg4w2ptbq2j23nv3sxorekzri1j,Salena Oneal,If you looking for new music to listen to check out cece song called  dead2me on iTunes music video out now right here on youtube.﻿,1
KatyPerry,218,z13vvheilmf1cbqfr22ge1rwqszpcvbgc04,ColoursBruh,Katy has a voice of an Angel﻿,0
KatyPerry,219,z12fxf2xaofxhvj1b220dn1qhnyotpybx04,Bob McBobbers,"Hey guys, I was working last night on this project, it's a music streamer  like spotify, but it allows you to download the files to listen to when  you're offline. Opening it as a free beta, feel free to try it out :) download: https://mega.co.nz/#!ehVjzKyA!5bGKg2iWPHZOHWAEUesrWnegqG_lABcO7Rw9WFX8hAo﻿",1
KatyPerry,220,z13lzjnbmpmlc5p1o23ahn1wvkuvzzzvl,Ed Diamond,"Man she is hot in this one, male companions visit my profile to check out  the coolest sextoy ever made!﻿",1
KatyPerry,221,z123ynxxyou1wrzri04cjh2buyfez5jjxcw,Brandon Tomlin,Like my page please...  https://m.facebook.com/Dreaddis?ref=m_notif¬if_t=fbpage_fan_invite&amp;actorid=1442646731  ﻿,1
KatyPerry,222,z13nujhysyf3ftvgt04ccrd4szrxcvzbvt00k,MeSoHornyMeLuvULongTime,This video is so racist!!! There are only animals.﻿,0
KatyPerry,223,z131zt3poqazypy0a23ghxojfme5ydmmp,Aarjav Parmar,Man she is BEAUTIFUL!﻿,0
KatyPerry,224,z12fzrxbvl3xjlmyi04chleb0uexczkjquk0k,FreexGaming,want to win borderlands the pre-sequel? check my channel :)﻿,1
KatyPerry,225,z13nev2azv3mftkx404cf1gilnvsi15hfjg,nanaIAMNANA,Hi! I would appreciate it if you all could help to like this poster on  Facebook:  https://www.facebook.com/nyghdramafest2014/photos/a.333608120156973.1073741830.327568907427561/333607726823679/?type=3&amp;theater ﻿,1
KatyPerry,226,z13hst3ihoetvtdls221z1khwtfmutjdd,abdilefe,Plz help me getting 1.000 Subscribers tonight/today.  Thanks to all who sub me :)﻿,1
KatyPerry,227,z12etvywgsjpthpvz22gwfm4vnqyydj3l,Rebecca Shields,Yesterday this video have 1 million likes and now it has 2 million﻿,0
KatyPerry,228,z13oxduriwbjvd41y235g1k4porjcr2xu04,Mardhy Hassan,why tiger succumbs to a beautiful girl ?.probably male tiger.....????   ha.ha.ha..﻿,0
KatyPerry,229,z13nv5tycmikx3syi04cdv5bmruufbrqjyk0k,Abigail Gustav,Best song ever ﻿,0
KatyPerry,230,z12jxb3rkze0jljrq04cib0xbxbrt3mae1k,Fredrik Jonsson,Thank you KatyPerryVevo for your instagram likes @axeljonssons﻿,1
KatyPerry,231,z13qw3ahhwftv3tnd23tihhxvlr0erteu,TopMusicWorld HD,Please Subscribe In My Channel →﻿,1
KatyPerry,232,z12fzn5rgqi4sdwwe04cj33qdvbbipgjylc0k,Mary-Jane Watson,"She is good. Does she make any more music? If she doesn't, she should!﻿",0
KatyPerry,233,z12wzpww1rnqwjq0223dd5gofvzbwjqth,ikbal kemerkaya,I LOVE YOU KATTY PERRY &lt;3 ﻿,0
KatyPerry,234,z13pch5b4xn1z1mju04cjdtaymyust4hvqs0k,Flip Tee,"HONESTLY, I WANNA SEE YOU BE BRAVE! oh wait...﻿",0
KatyPerry,235,z13yvbabmkemtbqk122repparnvhudrgr04,hernan perez ovando,;-)﻿,0
KatyPerry,236,z13qdpxqiziasxzsv234hhqoeretuhabc04,Merenguette,this video is great .....!!! I love this........and like much katy perry﻿,0
KatyPerry,237,z12axxpa2p2cdxu1p22vwfya1kz1gps4o04,Freya Questionmark,"Good thing she brought her spray-on tan, hairstylist, makeup artist, and  cameraman.﻿",0
KatyPerry,238,z130fjzbglzugzfdx23cipvotlrkdpepo04,subscrool,"666,002,018 views! 666 million. 666! Katy Perry illuminati confirmed!!!﻿",0
KatyPerry,239,z13qehwbnsfyvpaa004cdt0yqzqiy5mo2bk,Youyou A.,"I make guitar covers, please have a look at my channel﻿",1
KatyPerry,240,z12mhbmbhlv5jbi1n231chnqtrmkjrenc,MrSlowGhost,It should be illegal to be this goodlooking as this babe is...﻿,0
KatyPerry,241,z13odfj4atu3vdw0k22xwbtrftfoubzwf04,sebastian hudson,katy is mine the girl of my dreams ♥﻿,0
KatyPerry,242,z13uhfazpsvxed2x004chpwjayudxpvhv3o,Chewwy Moriarty,I love this song﻿,0
KatyPerry,243,z12kstz4owbggv12p230vpcwntjbyrqim04,haribo elf,She is fit﻿,0
KatyPerry,244,z13jddxactekydkim04cfvzijxiygbvgkh4,Patricia  Reyes,I love the song roar it make me think am fill the way﻿,0
KatyPerry,245,z13oghdjnqzcftxwp04cdv0acx3msl5zbkc0k,ollie123216,"How do you forget you have a choice, and what the fuck, surviving a plane  crash has a 1/1000 chance of happening.﻿",0
KatyPerry,246,z12gsvozdnffulgly23tdzyholacht41h,nleeklee polowtehow,"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0
KatyPerry,247,z13xuxwywsewv3dvu23jgfig3um3ct5vv,KatyPerry TheQueenOfPop,":: ATTENTION : WE NEED 10 Million Views More for FIREWORK to Reach 500M .. We have only 1 and half day left for katy's birtgday. Listen How it could be possible?? &gt;&gt;JUST Open different Tabs from Different Browser &gt;&gt;Dont Watch Full Video, Remember We dont have time on hand, Its Time Wasting. View it only for 30 sec. Plz thumbs up and share﻿",1
KatyPerry,248,z13cynorbtfoydmbx04cfxohsqzvh1jwnlc0k,احمد الهوارى,(( rapid facebook )) the free version of all colors and is characterized by  fast and beauty download now https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿,1
KatyPerry,249,z12vyf0jry25cbtif04cilsxal2quhowmw00k,katy perry,Hey Katycats! We are releasing a movie at midnight UK time to celebrate  katy's 30th birthday! Be sure to subscribe to our channel and watch the  movie!﻿,1
KatyPerry,250,z13xxt4idrj0xx0vy23mzfswexbtytozw04,randman21,"I just realized that this verses in this song have the exact same melody as  the verses in ""Hey Ho"" by the Lumineers.﻿",0
KatyPerry,251,z12iup4axsfpz50rz04cgr3xiuakujcwvb0,ΑΓΛΑΪΑ ΛΕΠΤΟΚΑΡΙΔΟΥ,:-D ♪♪♪ This is my favorite song ♥﻿,0
KatyPerry,252,z13mwftg2ozrfpmzm04cjpaxuqv0tpygyl00k,Brian Schultes,this song never get's old &lt;3 ﻿,0
KatyPerry,253,z133x1cptruyddomf230yx1zfwqhfzoxs04,Hude Deni,HAPPY BIRTHDAY KATY :) http://giphy.com/gifs/birthday-flowers-happy-gw3JY2uqiaXKaQXS/fullscreen  (That´s not me)﻿,1
KatyPerry,254,z13yfl2wqnzjynufz23dejrjetqedzgqx04,Ashley Smith,"Hey ! I know most people don't like these kind of comments &amp; see at spam,  but I see as free advertising . So please check out my cover of Sparks Fly  by Taylor Swift ! It is not the best ever I know, but maybe with some  encouraging words of wisdom from many of you I can become better! Please go  to my channel and check it out !﻿",1
KatyPerry,255,z13xg3oatsy5uljmc22ictmhgtf5vzxmg,Charles Breheny,Www.youniqueproducts.com/joannagordon Younique by Joanna Gordon www.youniqueproducts.com﻿,1
KatyPerry,256,z12dynswht2rujq1e22xi5dappq1vrlh504,ali aydın,I like you . Katy Perry 600▲60▲6▲﻿,0
KatyPerry,257,z12czbcjtzzjxfz5p04cffk5xsztwvsrop00k,IMustKillGoogle+,Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)﻿,0
KatyPerry,258,z12dujcgssjgd505g04ce5zzlka4d1p40vs0k,GX2re,Katy Perry can't sing for shit. All i hear it autotune.﻿,0
KatyPerry,259,z13jj5yx2lmeznske23dxrg51xnyhtrae04,Denzel Saimi,I fucking hate her. Why? Because she don't write her songs she got  producers for that. Second why tha fack is she in every song almost nude  mayby because she's an attention hooker.﻿,0
KatyPerry,260,z135jfhquofkjjxam04cdraphzuxxry4iso0k,Shaun Mac,Also LuckyMusiqLive she probably could help u make it big because I think u  have talent. Just look her name up on the internet. Hit me up when u get  this message﻿,1
KatyPerry,261,z12eszqpikzjdjnic04celpbjnityp1j24k,Nick McGoldrick,Check out my drum cover of E.T. here! thanks -&gt;   /watch?v=NO9pOVZ9OIQ&amp;list=UUltuCDIHsDeI01by1OW7WuQ﻿,1
KatyPerry,262,z13pwzyitx2sgz1w504cdlq4bxa5uvsqf0g,Emily Thrun,Put famous people in the jungle for an hour and look what happens.﻿,0
KatyPerry,263,z13achnwtnfohviax04ccn2rlraugdighjg,Robert Petrea,"She kinda let herself go, huh?﻿",0
KatyPerry,264,z12sc3pptnvrfbgwl04cdnfgynv5gtuwcpg0k,ahmed soliman,we all love you Katy Perry &lt;3﻿,0
KatyPerry,265,z13ghzwpmz30ilzzw04cit0gup2kwtajq5o,Yonate,Sign up for free on TSU and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/Roberts9010﻿,1
KatyPerry,266,z12uwdpwjlnrvvuri04chd4ojrfrhvzjjls0k,Marie farias,Love it when I can relate to my daughter's music. :-) Katy Perry - Roar  (Official): http://youtu.be/CevxZvSJLk8﻿,0
KatyPerry,267,z12izheoltagv1vvg233cvfgpt3yxdhed,NeverGreen35,Subscribe me and i subscribe you back!!﻿,1
KatyPerry,268,z13ez3wxdsnjv1dej22uedkr2vbsgj2m3,Chris Madzier,Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0
KatyPerry,269,z122sdu5jnnwsr0kf23aghaz5rnkijtkl,adrianavargova,"When I hear Katy singing this, I cry. The song has got depth.﻿",0
KatyPerry,270,z12yirkj4lzkupsnl222tbl5zwnwxfepj04,Boshra Abdrhman,Love it﻿,0
KatyPerry,271,z12lznkqhkyysbznf222ft35zmy1shkb504,youngj,People who believe in Illuminati are stupid the same people believe that  911 was made by the American government﻿,0
KatyPerry,272,z12jwlxzxsa3srdwf04cftvx1rfjj1vrxms0k,themind blasters,plz subscribe to my channel i need subs and if you do i will sub back i  need help﻿,1
KatyPerry,273,z12qxxchsv2oetuut22jwxur3tjjcvmw004,D Germain,please look up DHG SONGS this is my playlist with a bunch of amazing songs ﻿,1
KatyPerry,274,z13chb0r5lndj1mz504cefmpetrryb3qvf0,Nerdy Peach,Hey! I'm NERDY PEACH and I'm a new youtuber and it would mean THE ABSOLUTE  world to me if you could check 'em out! &lt;3  Hope you like them! =D﻿,1
KatyPerry,275,z13mznp52kzciz12t22xx1q5unnxxd1ih04,michael smith,00 : 39 Im pretty sure that tiger just wanted a hug﻿,0
KatyPerry,276,z12jwx2ikmq2hh05q04chpgannnofjzgxto0k,Alain Marius,http://vimeo.com/106865403﻿,1
KatyPerry,277,z12kj5iz2obvunpm222oynsjrnmvjhkvj,LuckyMusiqLive,this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿,1
KatyPerry,278,z125idl4dkrwsdlbj04ccpvbcqjbt3hbbqk0k,Mauro Tricolor,http://minhateca.com.br/mauro-sp2013/Filmes+Series+Desenhos+Animes+Mp3+etc﻿,1
KatyPerry,279,z13xzfroimzmyxp4o04cdn1i3wypsflpj4k,Grace R,https://www.facebook.com/antrobofficial﻿,1
KatyPerry,280,z13fzno5fnzdwl0wm04cc3fxqkubz3v4ieg,sreekrishna praveen,i love you katy perry because you will sing nice than shakira﻿,0
KatyPerry,281,z13hexio2vibenqip04cinuwsv2iifw5zeg,EDIN TIUL,http://hackfbaccountlive.com/?ref=4344749﻿,1
KatyPerry,282,z13vcxagnwzruv4yn04cg3dzxsvkelcqgyk0k,Nedim Alp SEÇGEL, Facebook account HACK!! http://hackfbaccountlive.com/?ref=4477063﻿,1
KatyPerry,283,z12xf55o4niwyvdor04cizohvyuafzpowww0k,Jackson Heber,I love katty perry﻿,0
KatyPerry,284,z13bcdoyolulstiif04cef2bvmepy1i54k40k,Khris Parkhill,The Perry you're doing a good job good job I love all of their videos and  by the way can you please describe to my channel please please please  please I'm trying to get as many comments to Skyburst lights is a cancer  and get famous please﻿,1
KatyPerry,285,z123tv1ijsqaz5tv123atxqy3wj5j5mqg04,Michael Jurek,I did a cover if u want to check it out THANK U.....Michael Age 8﻿,1
KatyPerry,286,z12yehjxukfljxa2x23iyhoqjna4zp0mi,Bruno Alderete,EVERYBODY PLEASE VOTE KATY AT EMA 2014 !!!!!  Best song  Best female Best pop Best live Best look  Best video  PLEASE VOTE KATY !!!!! PLEASE PLEASE PLEASE !!!!! VOTE VOTE VOTE !!!!! KATY KATY KATY !!!!!﻿,1
KatyPerry,287,z12whdyrktazxzbls22jjjaz5tvohh0nz,John Monster,Οh my god ... Roar is the most liked video at Vevo .. while 2 months ago  was Justin's Baby.. congrats Katy . Applause &lt;3 ﻿,0
KatyPerry,288,z13ujhk4nwzsf14jl04cgd3o5yrnindgc2s,kyle kops,https://soundcloud.com/j-supt-fils-du-son/fucking-hostile﻿,1
KatyPerry,289,z12ltb3iavfkyl4yr04cjperksqvs51otyg0k,Truc Ng,https://www.facebook.com/myfunnyriddles﻿,1
KatyPerry,290,z13ufbpg5smtedf4v04ci5gqvqemyb2jsp00k,OFFICIAL LEXIS,Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,1
KatyPerry,291,z12ig3mwynaxu5vtr23ed33wdofvwp2ve,hassan ss,https://www.facebook.com/photo.php?fbid=313454548839369&amp;set=a.207230212795137.1073741825.100005244783212&amp;type=1&amp;theater  1111111111111111111﻿,1
KatyPerry,292,z12gjxa44vzxcfuqz04cjjmphmiyhzopcuk0k,ELPaso1990TX,I'd rather hear some propa explicit gangsta rap insted of this garbage.  This song is trash !﻿,0
KatyPerry,293,z13uhfapiubszxn3g23jctqqpvaectjss,m450nH,"DAMNNNNNNNN, she is sexy O_O﻿",0
KatyPerry,294,z13hhrvguty1drrkk23ie1ywjn31zj0sl,RezAIIDay,Such a good song ans Katy sounds great over the melody. Im growing as an  artist everyday from my hit song 'CRAZY' which has got my name out there.  cant thank my fans more for their support. If you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your time﻿,1
KatyPerry,295,z122ghagzyvyzrv3b23fzf4pelvusdoub,a carlton,I LOVE YOU!!! Because u make me smile when im sad you cheer me up with your  beautiful songs (: &lt;3﻿,0
KatyPerry,296,z122g12wzuztdjac4232jxuomqylcfjhc04,William Carey,"This song is the most boring, asinine song I have ever heard. Coming from a  guy who liked ""Teenage Dream"" (the song). Ever since Katy Perry's divorce  it's wave after wave of shitty but successful songs... For those of you  saying ""This is the next wave of pop music"". Stick it up your ass. Katy  Perry is like Silly Putty. ﻿",0
KatyPerry,297,z13qh3azhtvkvbypn04cflwaxoz5x51bip00k,Googles top ten pics,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8. I love this song  and video Katy Perry Rocks Wahoo! 😀😘﻿,0
KatyPerry,298,z13zyrkzxm21hblzq04cgl4yslaoc1zh52g,Abhishek Kumar Gendah,And somehow she has access to makeup in the middle of the woods...﻿,0
KatyPerry,299,z12wy3fjlwnexjpzw04cf5ubzkudvfdinn00k,Fazeela Boodoo,It looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,0
KatyPerry,300,z133v1lwfvzcvrlp004cgbnqivi4xnqwgbk,LrsLzk,"I can't comprehend why this video has nearly 700,000,000 views. Some people  found 'Gangnam Style' funny so that explains its high view count but this  is just an awful pop song. I really have no clue on this one.﻿",0
KatyPerry,301,z12kh3rhbs3duzfea23hzf1qhlyuextzx04,Bobby Carlos,"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.﻿",0
KatyPerry,302,z133hdqrqpukup0lp22chhoaztrhvxov5,Quinho Divulgaçoes,me segue ha  https://www.facebook.com/marcos.sousa4?fref=ts﻿,1
KatyPerry,303,z130ut4izmyus5xr504cfzrx1umeglx4urg0k,Serj Cat,"Nature is beautiful, no need to place tits in video to impress people.﻿",0
KatyPerry,304,z12xjtzzfw2rtdt5p04cfbmihmusv3hjouc0k,Yourmomma Son,This is so stupid. If you Roared at a Lion in real life you'd dede﻿,0
KatyPerry,305,z12cvzca1qi3frejt04chrbhzsekxxopids,Paola Zelaya Deras,This song is so AWESOME!!!She made everything stand out and all the viewers  could imagine themselves at the setting of the video. Awesome Job Katy  Perry!!!!﻿,0
KatyPerry,306,z12esjnx1qn4vhywy04cfvpaunnxtvhbpnw0k,dinda zivic,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
KatyPerry,307,z12xunyyvkfmjpwbn04chxeipmaqg1apkxs0k,BIANCA FLORENTINA MANTA,Katy Perry is lion﻿,0
KatyPerry,308,z13ocdbaxwqdvjnwx04ccz1pnvqtezdriqc0k,Uroš Slemenjak,"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1
KatyPerry,309,z120thzonkjsz3euu233jn0alpmcupqtk,xsilvermistx,"I've figured out why I dislike this song: it's supposed to be a power  ballad right? Something that's uplifting and motivating by the end.  However, the final chorus has NO extra UMPH at the end and actually sounds  just like the first one. Instead of crescendo-ing into a powerful finish,  ""Roar"" just says on the same wavelength. It falls flat.﻿",0
KatyPerry,310,z13sx5nrhq22yvste23fvnirosixy55ag04,The Robot Green Hypno,i like this song the video goes perfect with it﻿,0
KatyPerry,311,z12hxjxqlu2bifvq204cgbggameftpswvfw,Paul Lewis,"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ﻿",0
KatyPerry,312,z125tj4zjlngxfvxr04cg5wyhkmxhxloesk0k,Anders Lundgren,"#nowplaying ""Weekendmix"" track 04 : Katy Perry - Roar (DJ Denis Shmelev &amp; DJ Alex Serov Remix) http://youtu.be/CevxZvSJLk8   Listen live at: www.smartfm.nl/livestream.html﻿",1
KatyPerry,313,z12mdpxzzvmxwfevl23juhzibvqyvp52s,Martwy Karas,Katy Perry's songs are the best of the songs of women artists.﻿,0
KatyPerry,314,z12ji3wbxwivep2zu04cglfrtxvdg3dwzzc0k,Caitlin Hepton,i like this song because of all the animals and i like this song .﻿,0
KatyPerry,315,z13wytcx3ljjhvo2w23qejnwjyzryv2xh04,Sam Kesha,http://www.wattpad.com/story/26032883-she-can-love-you-good﻿,1
KatyPerry,316,z122vl141lzkvjqon04ccxwxuy3lypghum00k,Kathy Akers,I love this song so much!:-D I've heard it so much I pretty much memorized  the lyrics﻿,0
KatyPerry,317,z12rsv4qfpiojdp1p23szbkbfxqthbkh304,Free Fire,"Hey Guys, I know you tend to skip these comments, but Take a look first.  I am Free Fire, A Big Room, Progressive House, Deep House, Dubstep &amp;  Chillstep Producer from a small town in Missouri. Down here, I have no  support from the community, and all I really ask is some critiquing,  Support, and Views.   My Music has gotten much better then what it was 10 months ago, and I  promise my new content should be more then satisfying. Soon I should be  able to advertise and I wont pester you guys anymore.  So gimme a chance and check out my music, thanks and god bless.﻿",1
KatyPerry,318,z12usroi1ovwtzud022kttmyetj2vng2n,Jacky Chan,For latest movies 2014 please visit this site  http://www.networkedblogs.com/p/11cPWb?ref=panorama﻿,1
KatyPerry,319,z13vedzz3kiuvd25d04cgfoxzlvwznlwyfc,Rafael Macho Gonzalez Jr,I love that you subscribed﻿,1
KatyPerry,320,z12kgb3b1qbgghhvk23rwj3j5lmehn3fz,Oreja Ramanauskaite,https://www.tsu.co/ToMeks Go register ;) free money;)﻿,1
KatyPerry,321,z12tchtw5m2ff5oyl04cjnl4oofcgx0y1is,We are proud to be Smilers,"great song, but we all know that Katy buys her views..﻿",0
KatyPerry,322,z13fctugtriitvzco23gtnb4mnbff144f04,MntDewWigger,check out mah girl it duh shit yo﻿,1
KatyPerry,323,z123svxivleiez5vt23mdzk55siwe5on0,Marnell Ampungan,Check out this video on YouTube:Facebook lhudygirlamaya ﻿,1
KatyPerry,324,z13tf12gvt2owtxpl04ceprwxmqnxx5a2gs,Kwon Kee,"Hey yall its the real Kevin Hart, shout out to my fans!!! follow me +RealKevinHeart ﻿",1
KatyPerry,325,z13felizynymfpd4304cc1loanvyw54pcmw0k,Nathan Waterhouse,Check out my acoustic channel ﻿,1
KatyPerry,326,z13udjviuyetffdbo04cfltbemrbx1szsrk0k,Arianna,♫I know someone will see this ♥ I have a dream… I don’t have the greatest videos or the best quality Right now I feel like i'm not getting anywhere and I need your help ♫ If you could possibly watch my videos it means the world to me ♥ Please thumbs this up so others can see… I appreciate it so much ♥♫ Please listen before you hate. Honestly i  appreciate it so much  You don’t have to love me just give this 17 year old a chance﻿,1
KatyPerry,327,z13wsnj44xfigrbse22iubv5kmebxlebm04,monal shah,"https://apps.facebook.com/my-polls/utsitcompetition2014?from=user_link&amp;ref_id=ouxg5e .  Please open this link and vote for  anand niketan international school, the  project name is project Fr-e-dom and share it with  yours friend.﻿",1
KatyPerry,328,z13auhswxvj3vl1ms22nhpbbrmetc1kvx,MagpiedudeGaming,I hate videos like these with those poor animals.﻿,0
KatyPerry,329,z131xnrwqtybhzilh22hipqauyuhvnlx104,Cem Devecioğlu devecioğlu,Hii youtube﻿,0
KatyPerry,330,z12kwjfxuybnjvhcj23avhwptniuhbrok04,Karim Bazoka,nice ..very nice﻿,0
KatyPerry,331,z13rz1ewdlrfy5tef23hwjkjlr25vhk4304,makayla Yarborough,I love this song!!!﻿,0
KatyPerry,332,z13vyd3ofqi4vjute22mhjbaqxf2dvjql04,Nice Girl,*KATY YOU ARE A SHIT GO DIE!!!!!ROAR IS A FLOOOOOOOOOOOOOOOOOOOOP*﻿,0
KatyPerry,333,z13kjhwrdtvjzbbtc22ag3u4nmaocb023,Jamie Breedlove, I love your music ﻿,0
KatyPerry,334,z13szfnqoxaouldyf04cgrp5tmichhawj2g,FudgePlaysMC,My 6th grade teacher looked exactly like Katy Perry come to think of it...﻿,0
KatyPerry,335,z13rynciopfrjhjjp04ccb4zazr4hrerjf0,Taina Boaventura,curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hl﻿,1
KatyPerry,336,z12hezdwqkqvg1zec22mtnerjlixyrt33,DIIL GANG,http://www.ermail.pl/dolacz/UnNfY2I=                  Please click on the  link﻿,1
KatyPerry,337,z12ww5toptirsbbjb04chfqgguiqu3jqfik,Lauren And Victoria,Come check out our parody of this!﻿,1
KatyPerry,338,z12mznwahnvyz3mjm04cfnizwzmijtjhsp40k,Those two boys,Please subscribe to us and thank you﻿,1
KatyPerry,339,z13ihroixyvmzvl2h22kclthlnmmxtggl04,Destiny Cable,PLEASE VOTE FOR ME FOR THE WET SEAL MODEL 2015 CONTEST! MY INSTAGRAM  USERNAME IS destinyforever_  http://www.wetseal.com/modelsearch15/modelsearch15.html﻿,1
KatyPerry,340,z13tz53yppyvd3obo04cef4zzounf1cporg0k,Portman P.,"SIMPLY PUT, OUR CUSTOMERS LOVE US... and so will you!https://www.facebook.com/greenleader﻿",1
KatyPerry,341,z12wgp0z4oj1sxqqf04cgfuwczfsvnjw3ew,sunny leone,https://binbox.io/DNCkM#qT4Q1JB1﻿,1
KatyPerry,342,z13uuxnivmfpvplmi23vvrdhsku1vpnfy,KillerDan,"Almost 1 Bil. What? Wow, GS sucks, in my opinion.﻿",0
